***************** Episode: 00 | Action: [0.85322684 0.08043711 0.05577299], Reward: 6.0538461538461545
99 | Action: [-0.687991    0.17257717  0.00133367], Reward: 33.076923076923045
198 | Action: [0.61178625 0.09585834 0.00597233], Reward: 100.10000000000028
297 | Action: [0.18302496 0.11479338 0.00540632], Reward: 170.2000000000007
396 | Action: [-0.33360216  0.16206227  0.00360576], Reward: 169.53076923077046
495 | Action: [-0.40655476  0.06770661  0.00245578], Reward: 159.63076923077102
594 | Action: [-0.52000433  0.1137782   0.00223358], Reward: 168.19230769230998
693 | Action: [0.73923767 0.34359583 0.00705787], Reward: 161.3692307692336
792 | Action: [-0.26465634  0.20800143  0.00396409], Reward: 151.46923076923417
891 | Action: [-0.11451957  0.3977531   0.01120653], Reward: 153.876923076927
990 | Action: [-0.3767665   0.2187439   0.00162687], Reward: 233.20769230769648
1089 | Action: [0.4140624  0.27914828 0.00733705], Reward: 306.3846153846183
1188 | Action: [0.30236474 0.11171991 0.01064075], Reward: 404.17692307692437
Episode took: 42.01403498649597 seconds
***************** Episode: 10 | Action: [0.85989535 0.09948878 0.06311318], Reward: 5.614285714285715
99 | Action: [0.7605894  0.19790098 0.00679595], Reward: 29.99999999999997
198 | Action: [0.01640745 0.16791159 0.00954754], Reward: 94.38571428571444
297 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 155.91428571428654
396 | Action: [-0.4033491   0.13480788  0.00284755], Reward: 146.0142857142871
495 | Action: [-0.35248527  0.167572    0.00355749], Reward: 136.11428571428766
594 | Action: [0.7504993  0.20165361 0.00362597], Reward: 126.21428571428822
693 | Action: [0.3625146  0.4404975  0.01764636], Reward: 150.60000000000312
792 | Action: [-0.9693566   0.08386818  0.00099204], Reward: 229.27142857143238
891 | Action: [-0.17305738  0.16888724  0.00372109], Reward: 296.5142857142878
990 | Action: [-0.23896341  0.13875055  0.00317953], Reward: 286.61428571428553
1089 | Action: [-0.01561062  0.06531206  0.00132097], Reward: 276.7142857142833
1188 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 289.6714285714237
Episode took: 39.50249981880188 seconds
***************** Episode: 20 | Action: [0.8805831  0.09281158 0.07351717], Reward: 7.682101167315175
99 | Action: [-0.41692448  0.09844957  0.00114778], Reward: 44.47470817120617
198 | Action: [-0.02019503  0.26378244  0.00394029], Reward: 139.63307392996143
297 | Action: [0.2226813  0.33200377 0.00910701], Reward: 242.57354085603163
396 | Action: [0.24052364 0.12240368 0.0063277 ], Reward: 353.29610894941527
495 | Action: [-0.39527944  0.14496806  0.00335508], Reward: 471.8007782101139
594 | Action: [-0.33198097  0.16012943  0.00357599], Reward: 461.90077821011164
693 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 452.0007782101094
792 | Action: [-0.3327377   0.15867059  0.00353866], Reward: 442.10077821010714
891 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 432.2007782101049
990 | Action: [-0.3327377   0.15867059  0.00353866], Reward: 422.30077821010264
1089 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 412.4007782101004
1188 | Action: [-0.33198097  0.16012943  0.00357599], Reward: 402.50077821009813
Episode took: 34.75806522369385 seconds
***************** Episode: 30 | Action: [0.80227244 0.07702234 0.05605722], Reward: 6.249206349206349
99 | Action: [-0.3906269   0.17067544  0.00223362], Reward: 34.4444444444444
198 | Action: [0.5510477  0.14344345 0.00603152], Reward: 103.9095238095241
297 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 135.27936507936593
396 | Action: [-0.27678543  0.15658419  0.00245802], Reward: 125.3793650793665
495 | Action: [-0.6810771   0.13504192  0.0007162 ], Reward: 115.47936507936706
594 | Action: [0.29140553 0.15911476 0.00844292], Reward: 143.67460317460564
693 | Action: [0.19218728 0.17280164 0.00981586], Reward: 194.0920634920663
792 | Action: [0.5208791  0.10712739 0.00536471], Reward: 292.1285714285739
891 | Action: [-0.33198097  0.16012943  0.00357599], Reward: 317.14920634920674
990 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 307.2492063492045
1089 | Action: [-0.71707565  0.11495275  0.00221237], Reward: 310.047619047615
1188 | Action: [0.3229879  0.39161038 0.01535605], Reward: 322.3698412698351
Episode took: 38.80846405029297 seconds
***************** Episode: 40 | Action: [0.84783524 0.06928929 0.05043622], Reward: 6.229113924050633
99 | Action: [-0.45581055  0.07407059  0.00298795], Reward: 37.46835443037969
198 | Action: [-0.18529615  0.19008705  0.00350312], Reward: 87.69493670886092
297 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 77.79493670886148
396 | Action: [0.06408663 0.07491327 0.01227618], Reward: 67.89493670886205
495 | Action: [-0.13711111  0.2850127   0.01185159], Reward: 57.99493670886218
594 | Action: [0.18777594 0.17683674 0.00400942], Reward: 127.20886075949548
693 | Action: [-0.26903668  0.23981401  0.0015748 ], Reward: 221.73924050633192
792 | Action: [0.08142926 0.093045   0.00333669], Reward: 243.48481012658578
891 | Action: [0.17498271 0.08770542 0.00323294], Reward: 233.58481012658635
990 | Action: [0.28314996 0.13061723 0.00673269], Reward: 261.6594936708899
1089 | Action: [-0.7847573   0.08750521  0.00127671], Reward: 261.25316455696355
1188 | Action: [0.06710494 0.20299967 0.00231676], Reward: 254.51772151898703
Episode took: 39.098005056381226 seconds
***************** Episode: 50 | Action: [0.8415902  0.08653636 0.06680328], Reward: 6.749315068493151
99 | Action: [-0.4641119   0.14908688  0.00138562], Reward: 37.94520547945201
198 | Action: [-0.00489845  0.175525    0.00663552], Reward: 117.08630136986335
297 | Action: [-0.5480249   0.14528605  0.00252374], Reward: 209.92602739726087
396 | Action: [0.25564185 0.16859218 0.00650052], Reward: 309.61506849315043
495 | Action: [-0.6424469   0.14812835  0.00500809], Reward: 337.3863013698607
594 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 344.6095890410914
693 | Action: [0.12147208 0.45611942 0.01054435], Reward: 351.8328767123221
792 | Action: [0.2288984  0.28513363 0.01272258], Reward: 407.0013698630051
891 | Action: [-0.5124631   0.1963133   0.01251416], Reward: 397.10136986300284
990 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 387.2013698630006
1089 | Action: [-0.30156645  0.17547907  0.00366953], Reward: 377.30136986299834
1188 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 367.4013698629961
Episode took: 37.149243116378784 seconds
***************** Episode: 60 | Action: [0.6367266  0.211546   0.06167661], Reward: 7.042857142857144
99 | Action: [0.3477462  0.10698558 0.00876998], Reward: 43.571428571428505
198 | Action: [-0.03087067  0.16657594  0.00490401], Reward: 119.38571428571453
297 | Action: [-8.2235616e-01  1.6038863e-01  6.4569013e-04], Reward: 113.05714285714366
396 | Action: [-0.11564875  0.21806768  0.00363368], Reward: 110.30000000000136
495 | Action: [-0.8462412   0.06483015  0.00450697], Reward: 111.11428571428763
594 | Action: [-0.77676916  0.10449637  0.00209366], Reward: 101.2142857142882
693 | Action: [-0.33198097  0.16012943  0.00357599], Reward: 91.31428571428876
792 | Action: [-0.66515374  0.14565435  0.00110906], Reward: 88.55714285714646
891 | Action: [0.16576482 0.45188648 0.01548108], Reward: 150.0857142857185
990 | Action: [-0.34050915  0.16273674  0.0035707 ], Reward: 236.61428571429082
1089 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 226.71428571429138
1188 | Action: [-0.3129489   0.17184648  0.00367239], Reward: 216.81428571429194
Episode took: 39.13323211669922 seconds
***************** Episode: 70 | Action: [0.45760888 0.28487974 0.06668944], Reward: 6.5889632107023415
99 | Action: [-0.20515808  0.21334492  0.00936771], Reward: 40.1672240802675
198 | Action: [-0.24412617  0.13541093  0.0033836 ], Reward: 103.84581939799362
297 | Action: [-0.14304759  0.13758814  0.00437076], Reward: 103.97926421404772
396 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 100.76822742475063
